ID;Название;Статус;Стартовая;Текущая;Ставок;Категория;Картинки
36628;15 копеек 1942 год;ENDED;4000.00;0.00;0;Россия и СССР;[]
36629;Пара 3 денги;ENDED;3800.00;0.00;0;Имперские (Россия);[]
36630;Павловский перечекан;ENDED;3200.00;0.00;0;Имперские (Россия);[]
36631;10 копеек 1944 год;ENDED;2000.00;0.00;0;Россия и СССР;[]
36632;5 копеек 1802 год;ENDED;3600.00;0.00;0;Имперские (Россия);[]
36633;5 копеек 1805 год;ENDED;3700.00;0.00;0;Имперские (Россия);[]
36636;Медаль \&quot;Святая Матрона Московская\&quot;;ENDED;1499.00;0.00;0;Остальное;[]
36641;Наконечник бронзовый &#40;ранние скифы&#41;;ENDED;1200.00;0.00;0;Металлопластика античная;[]
36642;Подборка кресал;ENDED;850.00;0.00;0;Металлопластика средневековая,  восточные предметы до 1917г;[]
36643;Орда+2 Бешлыка КХ;ENDED;1000.00;0.00;0;Восточные;[]
36646;Две Деньги Шахин Гирея 5 год;ENDED;1500.00;0.00;0;Восточные;[]
